Wall time,Step,a,b,c,d
1622675593,500,0.522890985,2.229667187,0,12.57332611
1622675595,1000,19.22191811,17.30952072,19.24789619,21.82573509
1622675596,1500,32.76372147,23.89089012,31.67406464,28.73626328
1622675598,2000,33.73965454,32.80819702,37.64225006,40.74740982
1622675600,2500,37.04416656,33.91760635,40.21480942,42.90388107
1622675602,3000,42.27982712,39.37360001,45.32520294,49.10200119
1622675603,3500,47.32754517,39.66409683,44.83786011,49.19261932
1622675606,4000,52.0743103,41.1325531,54.10022736,52.2792511
1622675607,4500,59.70708084,47.82080841,59.5837326,57.87788391
1622675608,5000,61.87195206,49.27656937,62.12936401,61.21490097
1622675610,5500,64.34186554,53.51906204,64.26460266,65.14442444
1622675611,6000,61.70067215,51.62380219,65.00722504,62.92285538
1622675613,6500,67.9821167,59.79771042,69.05031586,70.27722168
1622675614,7000,68.73082733,59.3375206,67.78261566,69.67438507
1622675617,7500,67.39105225,54.5027504,68.68421173,68.22785187
1622675618,8000,71.37378693,60.81786728,72.98181915,72.76821136
1622675619,8500,73.1151886,61.52254486,73.55182648,75.30214691
1622675621,9000,73.88744354,65.76546478,73.46219635,74.58518982
1622675622,9500,70.16835022,64.00265503,72.43110657,70.9214325
1622675624,10000,73.83156586,68.611763,75.44788361,75.61030579
1622675625,10500,75.05666351,67.76330566,75.00856781,75.21037292
1622675628,11000,72.32949066,65.38987732,75.01715088,74.19132996
1622675629,11500,71.36312866,69.85468292,76.26830292,74.7011261
1622675630,12000,74.23551941,68.90893555,77.75570679,78.8666687
1622675632,12500,74.81147766,70.58491516,75.83181763,78.49027252
1622675633,13000,73.25659943,65.75523376,73.58279419,75.42184448
1622675634,13500,74.5019455,71.87709808,77.27830505,77.14029694
1622675636,14000,77.32603455,72.05597687,78.3740921,78.08172607
1622675638,14500,75.30625916,68.78076935,76.18339539,75.65247345
1622675640,15000,71.25279999,72.10508728,76.05937195,76.04790497
1622675641,15500,76.19631958,74.18436432,78.43399048,80.02226257
1622675642,16000,76.81175995,73.28751373,76.53421021,79.62069702
1622675644,16500,74.39256287,69.98150635,74.8993988,78.27347565
1622675645,17000,74.76985931,74.34531403,76.1387558,76.53816223
1622675647,17500,77.26213074,73.99591827,78.76850891,79.09767914
